UBIGEO,NAME_CLEAN
000001,MANTA
000001,LARIA
000001,YANATILE
000001,HUANDO
000001,CHAMBARA
000001,SANO
000001,SANTIAGO DE TUNA
000001,SAN ANDRES DE TUPICOCHA
000001,SAN LORENZO DE QUINTI
000001,ALLAUCA
000001,PUCUSANA
000001,SANTA MARIA DEL MAR
000001,VILCA
000001,CUENCA
000001,SAYLLA
000001,RANRACANCHA
000001,TALAVERA
000001,CHUPURO
000001,CHORRILLOS
000001,VIQUES
000001,SANGALLAYA
000001,BARRANCO
000001,SANTO DOMINGO DE LOS OLLEROS
000001,VILLA MARIA DEL TRIUNFO
000001,SAN JUAN DE MIRAFLORES
000001,HUAYUCACHI
000001,CHONGOS BAJO
000001,LANGA
000001,HUARIBAMBA
000001,SURQUILLO
000001,CCARHUAYO
000001,SAN DAMIAN
000001,LEONOR ORDONEZ
000001,PACCHA
000001,QUILCAS
000001,MUQUI
000001,MANU
000001,HEROINAS TOLEDO
000001,QUICHUAY
000001,MUQUIYAUYO
000001,HUARIPAMPA
000001,INGENIO
000001,SAN LORENZO
000001,EL MANTARO
000001,SURCO
000001,SAUSA
000001,PARCO
000001,LEONCIO PRADO
000001,RIO NEGRO
000001,SAN PEDRO DE CAJAS
000001,JUNIN
000001,ONDORES
000001,HUASAHUASI
000001,SAYAN
000001,SAN MIGUEL DE MAYOCC
000001,EL CARMEN
000001,CURAHUASI
000001,POROY
000001,ANCO_HUALLO
000001,CUSCO
000001,CAICAY
000001,HUANCARANI
000001,CCATCA
000001,QUITO-ARMA
000001,CHINCHEROS
000001,KAQUIABAMBA
000001,HUAMATAMBO
000001,SECCLLA
000001,ARMA
000001,SANTA TERESA
000001,SAN PEDRO DE PUTINA PUNCO
000001,CHAVIN
000001,IMPERIAL
000001,SAN PEDRO DE HUACARPANA
000001,HUAYOPATA
000001,PAMPAS
000001,CHICCHE
000001,QUINOCAY
000001,QUINCHES
000001,COLCA
000001,ALIS
000001,HUANEC
000001,PUNTA NEGRA
000001,QUISHUAR
000001,MARIATANA
000001,SAN JOAQUIN
000001,CULLHUAS
000001,MADRE DE DIOS
000001,LA PERLA
000001,CHINCHAYPUJIO
000001,PUCYURA
000001,ANDARAPA
000001,CACHIMAYO
000001,SAN SALVADOR
000001,LIMBANI
000001,ONGOY
000001,MOLLEPATA
000001,LIMATAMBO
000001,PISAC
000001,TICRAPO
000001,HUAROCONDO
000001,MARAS
000001,LAMAY
000001,HUAYLLABAMBA
000001,ALTO LARAN
000001,COLQUEPATA
000001,YUCAY
000001,VILLA EL SALVADOR
000001,PUNTA HERMOSA
000001,MARCAPATA
000001,SAN PEDRO DE PALCO
000001,SAN PEDRO DE LARCAY
000001,HUACANA
000001,PAICO
000001,CARAPO
000001,CARHUANCA
000001,SANTIAGO DE LUCANAMARCA
000001,HUAMBALPA
000001,CANARIA
000001,SAN SALVADOR DE QUIJE
000001,QUEROBAMBA
000001,CHILCAYOC
000001,CHALCOS
000001,SACSAMARCA
000001,HUALLA
000001,SANCOS
000001,SAN PEDRO DE CACHORA
000001,TARAY
000001,ZURITE
000001,TAMBO DE MORA
000001,PACOBAMBA
000001,SUNAMPE
000001,ANCAHUASI
000001,HUANIPACA
000001,SAN ANTONIO DE CUSICANCHA
000001,CHINCHERO
000001,SAN GABAN
000001,COYA
000001,HUANCANO
000001,ANCHONGA
000001,HUEPETUHE
000001,HUACHOS
000001,AYAPATA
000001,OLLANTAYTAMBO
000001,MACHUPICCHU
000001,SAN JUAN DE YANAC
000001,CAMANTI
000001,SAN VICENTE DE CANETE
000001,TANTARA
000001,CHALLABAMBA
000001,RICARDO PALMA
000001,HUANCAYO
000001,MITO
000001,HUANCAVELICA
000001,KOSNIPATA
000001,COAYLLO
000001,MOYA
000001,PILCHACA
000001,OMAS
000001,HUANTAN
000001,HUAYLLAHUARA
000001,SAN BARTOLO
000001,ACOSTAMBO
000001,ACRAQUIA
000001,CARHUACALLANGA
000001,QUELLOUNO
000001,CALANGO
000001,HUASICANCHA
000001,CHACAPAMPA
000001,HUAMPARA
000001,CHONGOS ALTO
000001,AHUAYCHA
000001,LARAOS
000001,CARANIA
000001,DANIEL HERNANDEZ
000001,NAHUIMPUQUIO
000001,CHILCA
000001,LAHUAYTAMBO
000001,PACHACAMAC
000001,HUAMANCACA CHICO
000001,LA VICTORIA
000001,LA MOLINA
000001,BRENA
000001,SAPALLANGA
000001,CHUPACA
000001,SAN PEDRO DE HUANCAYRE
000001,SALCAHUASI
000001,SAN JUAN DE JARPA
000001,AHUAC
000001,TOMAS
000001,SURCUBAMBA
000001,SANTA ANITA
000001,PILCOMAYO
000001,HUACHAC
000001,CIENEGUILLA
000001,SAN MARCOS DE ROCCHAC
000001,SAN JOSE DE QUERO
000001,HUANCAYA
000001,TANTA
000001,SICAYA
000001,JENARO HERRERA
000001,SUITUCANCHA
000001,MASMA
000001,HUAMALI
000001,CANCHAYLLO
000001,HUERTAS
000001,JANJAILLO
000001,MASMA CHICCHE
000001,SAN PEDRO DE CASTA
000001,MARCO
000001,PANCAN
000001,CURICACA
000001,MATUCANA
000001,HUANZA
000001,LA OROYA
000001,SAN PEDRO DE LARAOS
000001,RICRAN
000001,HUARICOLCA
000001,MOLINOS
000001,APATA
000001,COMAS
000001,HUAMANTANGA
000001,CANTA
000001,MOROCOCHA
000001,CHANCAY
000001,LAS PIEDRAS
000001,TARMA
000001,AUCALLAMA
000001,TAPO
000001,LLAYLLA
